,Year,State,Producer Type,Energy Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
26053,2008,IL,Total Electric Power Industry,Coal,0,33,17452.00,15653.00
26054,2008,IL,Total Electric Power Industry,Hydroelectric,0,9,39,34
26055,2008,IL,Total Electric Power Industry,Natural Gas,0,80,16957.00,13870.00
26056,2008,IL,Total Electric Power Industry,Nuclear,0,6,12045.00,11379.00
26057,2008,IL,Total Electric Power Industry,Other,0,1,22,20
26058,2008,IL,Total Electric Power Industry,Other Biomass,0,32,168,150
26059,2008,IL,Total Electric Power Industry,Other Gases,0,1,40,40
26060,2008,IL,Total Electric Power Industry,Petroleum,0,49,1296.00,1099.00
26061,2008,IL,Total Electric Power Industry,Wind,0,10,962,962
26063,2008,IN,Combined Heat and Power Commercial Power,Coal,0,2,63,59
26064,2008,IN,Combined Heat and Power Commercial Power,Other Biomass,0,1,7,5
26065,2008,IN,Combined Heat and Power Commercial Power,Petroleum,0,3,13,12
26067,2008,IN,Combined Heat and Power Electric Power,Coal,0,2,798,736
26068,2008,IN,Combined Heat and Power Electric Power,Natural Gas,0,2,652,557
26070,2008,IN,Combined Heat and Power Industrial Power,Coal,0,2,9,10
26071,2008,IN,Combined Heat and Power Industrial Power,Natural Gas,0,2,97,90
26072,2008,IN,Combined Heat and Power Industrial Power,Other Biomass,0,1,5,4
26073,2008,IN,Combined Heat and Power Industrial Power,Other Gases,0,7,731,618
26074,2008,IN,Combined Heat and Power Industrial Power,Petroleum,0,2,6,4
26076,2008,IN,Electric Generators Electric Utilities,Coal,0,24,20044.00,18401.00
26077,2008,IN,Electric Generators Electric Utilities,Hydroelectric,0,5,92,60
26078,2008,IN,Electric Generators Electric Utilities,Natural Gas,0,21,5411.00,4620.00
26079,2008,IN,Electric Generators Electric Utilities,Other Biomass,0,7,30,30
26080,2008,IN,Electric Generators Electric Utilities,Petroleum,0,12,513,487
26082,2008,IN,Electric Generators Independent Power Producers,Coal,0,1,614,515
26083,2008,IN,Electric Generators Independent Power Producers,Natural Gas,0,2,919,740
26084,2008,IN,Electric Generators Independent Power Producers,Wind,0,1,131,131
26086,2008,IN,Total Electric Power Industry,Coal,0,31,21527.00,19721.00
26087,2008,IN,Total Electric Power Industry,Hydroelectric,0,5,92,60
26088,2008,IN,Total Electric Power Industry,Natural Gas,0,27,7079.00,6007.00
26089,2008,IN,Total Electric Power Industry,Other Biomass,0,9,42,39
26090,2008,IN,Total Electric Power Industry,Other Gases,0,7,731,618
26091,2008,IN,Total Electric Power Industry,Petroleum,0,17,531,503
26092,2008,IN,Total Electric Power Industry,Wind,0,1,131,131
26094,2008,KS,Combined Heat and Power Commercial Power,Natural Gas,0,1,4,4
26096,2008,KS,Combined Heat and Power Industrial Power,Natural Gas,0,1,33,27
26098,2008,KS,Electric Generators Electric Utilities,Coal,0,8,5472.00,5190.00
26099,2008,KS,Electric Generators Electric Utilities,Natural Gas,0,69,4825.00,4232.00
26100,2008,KS,Electric Generators Electric Utilities,Nuclear,0,1,1236.00,1160.00
26101,2008,KS,Electric Generators Electric Utilities,Petroleum,0,54,652,564
26102,2008,KS,Electric Generators Electric Utilities,Wind,0,1,100,100
26104,2008,KS,Electric Generators Independent Power Producers,Hydroelectric,0,1,3,3
26105,2008,KS,Electric Generators Independent Power Producers,Wind,0,5,712,712
26107,2008,KS,Total Electric Power Industry,Coal,0,8,5472.00,5190.00
26108,2008,KS,Total Electric Power Industry,Hydroelectric,0,1,3,3
26109,2008,KS,Total Electric Power Industry,Natural Gas,0,71,4861.00,4262.00
26110,2008,KS,Total Electric Power Industry,Nuclear,0,1,1236.00,1160.00
26111,2008,KS,Total Electric Power Industry,Petroleum,0,54,652,564
26112,2008,KS,Total Electric Power Industry,Wind,0,6,812,812
26114,2008,KY,Combined Heat and Power Industrial Power,Natural Gas,0,1,27,23
26115,2008,KY,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,2,93,47
26117,2008,KY,Electric Generators Electric Utilities,Coal,0,15,14516.00,12616.00
26118,2008,KY,Electric Generators Electric Utilities,Hydroelectric,0,6,781,822
26119,2008,KY,Electric Generators Electric Utilities,Natural Gas,0,8,4045.00,3295.00
26120,2008,KY,Electric Generators Electric Utilities,Other Biomass,0,5,15,15
26121,2008,KY,Electric Generators Electric Utilities,Petroleum,0,1,12,12
26123,2008,KY,Electric Generators Independent Power Producers,Coal,0,5,2255.00,1686.00
26124,2008,KY,Electric Generators Independent Power Producers,Hydroelectric,0,1,2,2
26125,2008,KY,Electric Generators Independent Power Producers,Natural Gas,0,2,1774.00,1320.00
26126,2008,KY,Electric Generators Independent Power Producers,Petroleum,0,1,99,65
26128,2008,KY,Total Electric Power Industry,Coal,0,20,16771.00,14301.00
26129,2008,KY,Total Electric Power Industry,Hydroelectric,0,7,783,824
26130,2008,KY,Total Electric Power Industry,Natural Gas,0,11,5845.00,4638.00
26131,2008,KY,Total Electric Power Industry,Other Biomass,0,5,15,15
26132,2008,KY,Total Electric Power Industry,Petroleum,0,2,110,77
26133,2008,KY,Total Electric Power Industry,Wood and Wood Derived Fuels,0,2,93,47
26135,2008,LA,Combined Heat and Power Commercial Power,Natural Gas,0,1,8,6
26137,2008,LA,Combined Heat and Power Electric Power,Natural Gas,0,2,976,855
26139,2008,LA,Combined Heat and Power Industrial Power,Natural Gas,0,27,4976.00,4160.00
26140,2008,LA,Combined Heat and Power Industrial Power,Other,0,5,252,236
26141,2008,LA,Combined Heat and Power Industrial Power,Other Biomass,0,1,3,3
26142,2008,LA,Combined Heat and Power Industrial Power,Other Gases,0,1,75,34
26143,2008,LA,Combined Heat and Power Industrial Power,Petroleum,0,2,106,106
26144,2008,LA,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,6,411,380
26146,2008,LA,Electric Generators Electric Utilities,Coal,0,3,1893.00,1739.00
26147,2008,LA,Electric Generators Electric Utilities,Natural Gas,0,29,13440.00,11622.00
26148,2008,LA,Electric Generators Electric Utilities,Nuclear,0,2,2236.00,2154.00
26149,2008,LA,Electric Generators Electric Utilities,Petroleum,0,4,262,240
26151,2008,LA,Electric Generators Independent Power Producers,Coal,0,1,1871.00,1743.00
26152,2008,LA,Electric Generators Independent Power Producers,Hydroelectric,0,1,192,192
26153,2008,LA,Electric Generators Independent Power Producers,Natural Gas,0,5,3441.00,2701.00
26154,2008,LA,Electric Generators Independent Power Producers,Other Biomass,0,1,12,11
26156,2008,LA,Total Electric Power Industry,Coal,0,4,3764.00,3482.00
26157,2008,LA,Total Electric Power Industry,Hydroelectric,0,1,192,192
26158,2008,LA,Total Electric Power Industry,Natural Gas,0,64,22840.00,19345.00
26159,2008,LA,Total Electric Power Industry,Nuclear,0,2,2236.00,2154.00
26160,2008,LA,Total Electric Power Industry,Other,0,5,252,236
26161,2008,LA,Total Electric Power Industry,Other Biomass,0,2,15,14
26162,2008,LA,Total Electric Power Industry,Other Gases,0,1,75,34
26163,2008,LA,Total Electric Power Industry,Petroleum,0,6,368,346
26164,2008,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,6,411,380
26166,2008,MA,Combined Heat and Power Commercial Power,Hydroelectric,0,1,2,2
26167,2008,MA,Combined Heat and Power Commercial Power,Natural Gas,0,6,88,81
26168,2008,MA,Combined Heat and Power Commercial Power,Other Biomass,0,1,18,9
26169,2008,MA,Combined Heat and Power Commercial Power,Petroleum,0,3,95,82
26170,2008,MA,Combined Heat and Power Commercial Power,Solar Thermal and Photovoltaic,0,1,0,0
26172,2008,MA,Combined Heat and Power Electric Power,Natural Gas,0,6,1179.00,947
26173,2008,MA,Combined Heat and Power Electric Power,Petroleum,0,1,20,20
26175,2008,MA,Combined Heat and Power Industrial Power,Coal,0,2,11,9
26176,2008,MA,Combined Heat and Power Industrial Power,Hydroelectric,0,2,4,4
26177,2008,MA,Combined Heat and Power Industrial Power,Natural Gas,0,6,89,84
26178,2008,MA,Combined Heat and Power Industrial Power,Petroleum,0,5,15,6
26180,2008,MA,Electric Generators Electric Utilities,Hydroelectric,0,6,50,45
26181,2008,MA,Electric Generators Electric Utilities,Natural Gas,0,4,199,157
26182,2008,MA,Electric Generators Electric Utilities,Petroleum,0,11,737,624
26183,2008,MA,Electric Generators Electric Utilities,Wind,0,1,2,2
26185,2008,MA,Electric Generators Independent Power Producers,Coal,0,4,1690.00,1653.00
26186,2008,MA,Electric Generators Independent Power Producers,Hydroelectric,0,21,215,206
26187,2008,MA,Electric Generators Independent Power Producers,Natural Gas,0,11,5630.00,4569.00
26188,2008,MA,Electric Generators Independent Power Producers,Nuclear,0,1,670,685
26189,2008,MA,Electric Generators Independent Power Producers,Other Biomass,0,15,329,263
26190,2008,MA,Electric Generators Independent Power Producers,Petroleum,0,16,2617.00,2388.00
26191,2008,MA,Electric Generators Independent Power Producers,Pumped Storage,0,2,1540.00,1643.00
26192,2008,MA,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,2,27,26
26194,2008,MA,Total Electric Power Industry,Coal,0,6,1702.00,1662.00
26195,2008,MA,Total Electric Power Industry,Hydroelectric,0,30,270,258
26196,2008,MA,Total Electric Power Industry,Natural Gas,0,33,7185.00,5839.00
26197,2008,MA,Total Electric Power Industry,Nuclear,0,1,670,685
26198,2008,MA,Total Electric Power Industry,Other Biomass,0,16,346,272
26199,2008,MA,Total Electric Power Industry,Petroleum,0,36,3483.00,3120.00
26200,2008,MA,Total Electric Power Industry,Pumped Storage,0,2,1540.00,1643.00
26201,2008,MA,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,1,0,0
26202,2008,MA,Total Electric Power Industry,Wind,0,1,2,2
26203,2008,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,2,27,26
26205,2008,MD,Combined Heat and Power Commercial Power,Natural Gas,0,1,2,2
26206,2008,MD,Combined Heat and Power Commercial Power,Other Biomass,0,3,8,7
26207,2008,MD,Combined Heat and Power Commercial Power,Petroleum,0,1,2,2
26208,2008,MD,Combined Heat and Power Commercial Power,Wood and Wood Derived Fuels,0,1,4,3
26210,2008,MD,Combined Heat and Power Electric Power,Coal,0,1,229,180
26211,2008,MD,Combined Heat and Power Electric Power,Natural Gas,0,5,360,290
26212,2008,MD,Combined Heat and Power Electric Power,Other Biomass,0,1,65,61
26213,2008,MD,Combined Heat and Power Electric Power,Other Gases,0,1,120,152
26215,2008,MD,Combined Heat and Power Industrial Power,Coal,0,1,65,60
26216,2008,MD,Combined Heat and Power Industrial Power,Natural Gas,0,1,18,18
26218,2008,MD,Electric Generators Electric Utilities,Petroleum,0,4,83,80
26220,2008,MD,Electric Generators Independent Power Producers,Coal,0,7,4942.00,4704.00
26221,2008,MD,Electric Generators Independent Power Producers,Hydroelectric,0,2,527,590
26222,2008,MD,Electric Generators Independent Power Producers,Natural Gas,0,8,2000.00,1728.00
26223,2008,MD,Electric Generators Independent Power Producers,Nuclear,0,1,1829.00,1735.00
26224,2008,MD,Electric Generators Independent Power Producers,Other Biomass,0,4,78,64
26225,2008,MD,Electric Generators Independent Power Producers,Petroleum,0,13,3218.00,2909.00
26227,2008,MD,Total Electric Power Industry,Coal,0,9,5236.00,4944.00
26228,2008,MD,Total Electric Power Industry,Hydroelectric,0,2,527,590
26229,2008,MD,Total Electric Power Industry,Natural Gas,0,15,2379.00,2038.00
26230,2008,MD,Total Electric Power Industry,Nuclear,0,1,1829.00,1735.00
26231,2008,MD,Total Electric Power Industry,Other Biomass,0,8,151,132
26232,2008,MD,Total Electric Power Industry,Other Gases,0,1,120,152
26233,2008,MD,Total Electric Power Industry,Petroleum,0,18,3303.00,2991.00
26234,2008,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,4,3
26236,2008,ME,Combined Heat and Power Commercial Power,Other Biomass,0,2,30,24
26238,2008,ME,Combined Heat and Power Electric Power,Coal,0,1,103,85
26239,2008,ME,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,1,21,21
26241,2008,ME,Combined Heat and Power Industrial Power,Hydroelectric,0,8,124,120
26242,2008,ME,Combined Heat and Power Industrial Power,Natural Gas,0,3,447,395
26243,2008,ME,Combined Heat and Power Industrial Power,Petroleum,0,7,132,123
26244,2008,ME,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,11,423,392
26246,2008,ME,Electric Generators Electric Utilities,Petroleum,0,3,20,19
26248,2008,ME,Electric Generators Independent Power Producers,Hydroelectric,0,49,598,610
26249,2008,ME,Electric Generators Independent Power Producers,Natural Gas,0,3,1377.00,1250.00
26250,2008,ME,Electric Generators Independent Power Producers,Other Biomass,0,3,75,65
26251,2008,ME,Electric Generators Independent Power Producers,Petroleum,0,5,914,888
26252,2008,ME,Electric Generators Independent Power Producers,Wind,0,2,47,47
26253,2008,ME,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,7,219,199
26255,2008,ME,Total Electric Power Industry,Coal,0,1,103,85
26256,2008,ME,Total Electric Power Industry,Hydroelectric,0,57,722,730
26257,2008,ME,Total Electric Power Industry,Natural Gas,0,6,1824.00,1645.00
26258,2008,ME,Total Electric Power Industry,Other Biomass,0,5,105,89
26259,2008,ME,Total Electric Power Industry,Petroleum,0,15,1066.00,1031.00
26260,2008,ME,Total Electric Power Industry,Wind,0,2,47,47
26261,2008,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,0,19,663,612
26263,2008,MI,Combined Heat and Power Commercial Power,Coal,0,1,85,85
26264,2008,MI,Combined Heat and Power Commercial Power,Natural Gas,0,3,21,19
26265,2008,MI,Combined Heat and Power Commercial Power,Other Biomass,0,2,72,67
26266,2008,MI,Combined Heat and Power Commercial Power,Petroleum,0,4,20,20
26267,2008,MI,Combined Heat and Power Commercial Power,Wood and Wood Derived Fuels,0,1,1,1
26269,2008,MI,Combined Heat and Power Electric Power,Coal,0,1,70,60
26270,2008,MI,Combined Heat and Power Electric Power,Natural Gas,0,5,2840.00,2729.00
26271,2008,MI,Combined Heat and Power Electric Power,Other Biomass,0,2,19,17
26272,2008,MI,Combined Heat and Power Electric Power,Petroleum,0,1,5,5
26274,2008,MI,Combined Heat and Power Industrial Power,Coal,0,9,216,179
26275,2008,MI,Combined Heat and Power Industrial Power,Hydroelectric,0,3,5,4
26276,2008,MI,Combined Heat and Power Industrial Power,Natural Gas,0,6,55,40
26277,2008,MI,Combined Heat and Power Industrial Power,Petroleum,0,1,27,32
26278,2008,MI,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,2,50,51
26280,2008,MI,Electric Generators Electric Utilities,Coal,0,21,12482.00,11543.00
26281,2008,MI,Electric Generators Electric Utilities,Hydroelectric,0,43,347,222
26282,2008,MI,Electric Generators Electric Utilities,Natural Gas,0,37,4951.00,4447.00
26283,2008,MI,Electric Generators Electric Utilities,Nuclear,0,2,3502.00,3191.00
26284,2008,MI,Electric Generators Electric Utilities,Petroleum,0,48,692,610
26285,2008,MI,Electric Generators Electric Utilities,Pumped Storage,0,1,1979.00,1872.00
26287,2008,MI,Electric Generators Independent Power Producers,Coal,0,1,60,54
26288,2008,MI,Electric Generators Independent Power Producers,Hydroelectric,0,11,24,24
26289,2008,MI,Electric Generators Independent Power Producers,Natural Gas,0,8,4414.00,3983.00
26290,2008,MI,Electric Generators Independent Power Producers,Nuclear,0,1,812,778
26291,2008,MI,Electric Generators Independent Power Producers,Other Biomass,0,14,95,85
26292,2008,MI,Electric Generators Independent Power Producers,Wind,0,3,124,124
26293,2008,MI,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,7,196,178
26295,2008,MI,Total Electric Power Industry,Coal,0,33,12914.00,11921.00
26296,2008,MI,Total Electric Power Industry,Hydroelectric,0,57,376,250
26297,2008,MI,Total Electric Power Industry,Natural Gas,0,59,12281.00,11218.00
26298,2008,MI,Total Electric Power Industry,Nuclear,0,3,4314.00,3969.00
26299,2008,MI,Total Electric Power Industry,Other Biomass,0,18,186,169
26300,2008,MI,Total Electric Power Industry,Petroleum,0,54,744,667
26301,2008,MI,Total Electric Power Industry,Pumped Storage,0,1,1979.00,1872.00
26302,2008,MI,Total Electric Power Industry,Wind,0,3,124,124
26303,2008,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,0,10,247,230
26305,2008,MN,Combined Heat and Power Commercial Power,Natural Gas,0,2,27,25
26306,2008,MN,Combined Heat and Power Commercial Power,Other,0,1,7,3
26307,2008,MN,Combined Heat and Power Commercial Power,Other Biomass,0,2,9,4
26308,2008,MN,Combined Heat and Power Commercial Power,Petroleum,0,5,26,14
26310,2008,MN,Combined Heat and Power Electric Power,Natural Gas,0,1,284,251
26311,2008,MN,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,1,37,33
26313,2008,MN,Combined Heat and Power Industrial Power,Coal,0,8,185,159
26314,2008,MN,Combined Heat and Power Industrial Power,Hydroelectric,0,4,32,30
26315,2008,MN,Combined Heat and Power Industrial Power,Natural Gas,0,1,29,29
26316,2008,MN,Combined Heat and Power Industrial Power,Other,0,1,11,11
26317,2008,MN,Combined Heat and Power Industrial Power,Petroleum,0,1,14,11
26318,2008,MN,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,1,88,49
26320,2008,MN,Electric Generators Electric Utilities,Coal,0,13,5511.00,5077.00
26321,2008,MN,Electric Generators Electric Utilities,Hydroelectric,0,18,140,133
26322,2008,MN,Electric Generators Electric Utilities,Natural Gas,0,27,3830.00,3528.00
26323,2008,MN,Electric Generators Electric Utilities,Nuclear,0,2,1817.00,1668.00
26324,2008,MN,Electric Generators Electric Utilities,Other Biomass,0,3,87,72
26325,2008,MN,Electric Generators Electric Utilities,Petroleum,0,64,868,746
26326,2008,MN,Electric Generators Electric Utilities,Wind,0,7,143,121
26327,2008,MN,Electric Generators Electric Utilities,Wood and Wood Derived Fuels,0,2,99,88
26329,2008,MN,Electric Generators Independent Power Producers,Hydroelectric,0,4,32,31
26330,2008,MN,Electric Generators Independent Power Producers,Natural Gas,0,2,928,698
26331,2008,MN,Electric Generators Independent Power Producers,Other Biomass,0,6,127,109
26332,2008,MN,Electric Generators Independent Power Producers,Petroleum,0,2,10,10
26333,2008,MN,Electric Generators Independent Power Producers,Wind,0,92,1339.00,1339.00
26335,2008,MN,Total Electric Power Industry,Coal,0,21,5696.00,5235.00
26336,2008,MN,Total Electric Power Industry,Hydroelectric,0,26,204,194
26337,2008,MN,Total Electric Power Industry,Natural Gas,0,33,5097.00,4531.00
26338,2008,MN,Total Electric Power Industry,Nuclear,0,2,1817.00,1668.00
26339,2008,MN,Total Electric Power Industry,Other,0,2,17,13
26340,2008,MN,Total Electric Power Industry,Other Biomass,0,11,223,185
26341,2008,MN,Total Electric Power Industry,Petroleum,0,72,918,782
26342,2008,MN,Total Electric Power Industry,Wind,0,99,1481.00,1460.00
26343,2008,MN,Total Electric Power Industry,Wood and Wood Derived Fuels,0,4,225,170
26345,2008,MO,Combined Heat and Power Commercial Power,Coal,0,1,53,51
26346,2008,MO,Combined Heat and Power Commercial Power,Natural Gas,0,1,35,23
26347,2008,MO,Combined Heat and Power Commercial Power,Petroleum,0,2,15,15
26349,2008,MO,Combined Heat and Power Electric Power,Natural Gas,0,1,37,31
26351,2008,MO,Combined Heat and Power Industrial Power,Coal,0,2,43,43
26353,2008,MO,Electric Generators Electric Utilities,Coal,0,20,11708.00,11146.00
26354,2008,MO,Electric Generators Electric Utilities,Hydroelectric,0,6,499,566
26355,2008,MO,Electric Generators Electric Utilities,Natural Gas,0,38,5703.00,4790.00
26356,2008,MO,Electric Generators Electric Utilities,Nuclear,0,1,1236.00,1190.00
26357,2008,MO,Electric Generators Electric Utilities,Other Biomass,0,2,5,5
26358,2008,MO,Electric Generators Electric Utilities,Petroleum,0,56,1384.00,1267.00
26359,2008,MO,Electric Generators Electric Utilities,Pumped Storage,0,3,600,657
26361,2008,MO,Electric Generators Independent Power Producers,Natural Gas,0,2,840,760
26362,2008,MO,Electric Generators Independent Power Producers,Wind,0,4,163,163
26364,2008,MO,Total Electric Power Industry,Coal,0,23,11804.00,11240.00
26365,2008,MO,Total Electric Power Industry,Hydroelectric,0,6,499,566
26366,2008,MO,Total Electric Power Industry,Natural Gas,0,42,6614.00,5604.00
26367,2008,MO,Total Electric Power Industry,Nuclear,0,1,1236.00,1190.00
26368,2008,MO,Total Electric Power Industry,Other Biomass,0,2,5,5
26369,2008,MO,Total Electric Power Industry,Petroleum,0,58,1399.00,1282.00
26370,2008,MO,Total Electric Power Industry,Pumped Storage,0,3,600,657
26371,2008,MO,Total Electric Power Industry,Wind,0,4,163,163
26373,2008,MS,Combined Heat and Power Commercial Power,Natural Gas,0,1,4,4
26375,2008,MS,Combined Heat and Power Industrial Power,Natural Gas,0,3,80,76
26376,2008,MS,Combined Heat and Power Industrial Power,Other Gases,0,1,6,4
26377,2008,MS,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,3,238,229
26379,2008,MS,Electric Generators Electric Utilities,Coal,0,4,2406.00,2115.00
26380,2008,MS,Electric Generators Electric Utilities,Natural Gas,0,22,7553.00,6683.00
26381,2008,MS,Electric Generators Electric Utilities,Nuclear,0,1,1373.00,1259.00
26382,2008,MS,Electric Generators Electric Utilities,Petroleum,0,4,48,36
26384,2008,MS,Electric Generators Independent Power Producers,Coal,0,1,514,440
26385,2008,MS,Electric Generators Independent Power Producers,Natural Gas,0,9,5605.00,5096.00
26387,2008,MS,Total Electric Power Industry,Coal,0,5,2920.00,2555.00
26388,2008,MS,Total Electric Power Industry,Natural Gas,0,35,13241.00,11859.00
26389,2008,MS,Total Electric Power Industry,Nuclear,0,1,1373.00,1259.00
26390,2008,MS,Total Electric Power Industry,Other Gases,0,1,6,4
26391,2008,MS,Total Electric Power Industry,Petroleum,0,4,48,36
26392,2008,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,0,3,238,229
26394,2008,MT,Combined Heat and Power Electric Power,Petroleum,0,1,65,55
26396,2008,MT,Combined Heat and Power Industrial Power,Other Gases,0,1,2,2
26397,2008,MT,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,1,17,17
26399,2008,MT,Electric Generators Electric Utilities,Coal,0,1,50,52
26400,2008,MT,Electric Generators Electric Utilities,Hydroelectric,0,7,1953.00,2030.00
26401,2008,MT,Electric Generators Electric Utilities,Natural Gas,0,2,107,100
26402,2008,MT,Electric Generators Electric Utilities,Petroleum,0,1,2,2
26403,2008,MT,Electric Generators Electric Utilities,Wind,0,1,20,6
26405,2008,MT,Electric Generators Independent Power Producers,Coal,0,4,2602.00,2390.00
26406,2008,MT,Electric Generators Independent Power Producers,Hydroelectric,0,14,595,630
26407,2008,MT,Electric Generators Independent Power Producers,Natural Gas,0,3,92,82
26408,2008,MT,Electric Generators Independent Power Producers,Wind,0,3,252,249
26410,2008,MT,Total Electric Power Industry,Coal,0,5,2652.00,2442.00
26411,2008,MT,Total Electric Power Industry,Hydroelectric,0,21,2547.00,2660.00
26412,2008,MT,Total Electric Power Industry,Natural Gas,0,5,199,181
26413,2008,MT,Total Electric Power Industry,Other Gases,0,1,2,2
26414,2008,MT,Total Electric Power Industry,Petroleum,0,2,67,57
26415,2008,MT,Total Electric Power Industry,Wind,0,4,271,255
26416,2008,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,17,17
26418,2008,NC,Combined Heat and Power Commercial Power,Coal,0,1,28,29
26419,2008,NC,Combined Heat and Power Commercial Power,Hydroelectric,0,2,4,4
26420,2008,NC,Combined Heat and Power Commercial Power,Petroleum,0,1,2,1
26422,2008,NC,Combined Heat and Power Electric Power,Coal,0,7,627,552
26423,2008,NC,Combined Heat and Power Electric Power,Other Biomass,0,1,3,3
26424,2008,NC,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,1,44,27
26426,2008,NC,Combined Heat and Power Industrial Power,Coal,0,2,75,78
26427,2008,NC,Combined Heat and Power Industrial Power,Hydroelectric,0,1,2,1
26428,2008,NC,Combined Heat and Power Industrial Power,Natural Gas,0,1,53,45
26429,2008,NC,Combined Heat and Power Industrial Power,Other,0,1,40,47
26430,2008,NC,Combined Heat and Power Industrial Power,Petroleum,0,7,50,48
26431,2008,NC,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,4,246,243
26433,2008,NC,Electric Generators Electric Utilities,Coal,0,14,12494.00,12411.00
26434,2008,NC,Electric Generators Electric Utilities,Hydroelectric,0,31,1809.00,1932.00
26435,2008,NC,Electric Generators Electric Utilities,Natural Gas,0,12,6913.00,5660.00
26436,2008,NC,Electric Generators Electric Utilities,Nuclear,0,3,5182.00,4958.00
26437,2008,NC,Electric Generators Electric Utilities,Petroleum,0,39,694,507
26438,2008,NC,Electric Generators Electric Utilities,Pumped Storage,0,1,95,90
26440,2008,NC,Electric Generators Independent Power Producers,Hydroelectric,0,6,15,15
26441,2008,NC,Electric Generators Independent Power Producers,Natural Gas,0,1,1192.00,974
26442,2008,NC,Electric Generators Independent Power Producers,Other Biomass,0,5,27,17
26443,2008,NC,Electric Generators Independent Power Producers,Petroleum,0,1,2,1
26444,2008,NC,Electric Generators Independent Power Producers,Solar Thermal and Photovoltaic,0,3,3,3
26445,2008,NC,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,1,50,48
26447,2008,NC,Total Electric Power Industry,Coal,0,24,13224.00,13069.00
26448,2008,NC,Total Electric Power Industry,Hydroelectric,0,40,1829.00,1952.00
26449,2008,NC,Total Electric Power Industry,Natural Gas,0,14,8157.00,6679.00
26450,2008,NC,Total Electric Power Industry,Nuclear,0,3,5182.00,4958.00
26451,2008,NC,Total Electric Power Industry,Other,0,1,40,47
26452,2008,NC,Total Electric Power Industry,Other Biomass,0,6,30,20
26453,2008,NC,Total Electric Power Industry,Petroleum,0,48,748,558
26454,2008,NC,Total Electric Power Industry,Pumped Storage,0,1,95,90
26455,2008,NC,Total Electric Power Industry,Solar Thermal and Photovoltaic,0,3,3,3
26456,2008,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,0,6,340,318
26458,2008,ND,Combined Heat and Power Commercial Power,Petroleum,0,2,4,4
26460,2008,ND,Combined Heat and Power Industrial Power,Coal,0,3,21,21
26461,2008,ND,Combined Heat and Power Industrial Power,Other Biomass,0,1,10,10
26462,2008,ND,Combined Heat and Power Industrial Power,Other Gases,0,1,8,8
26464,2008,ND,Electric Generators Electric Utilities,Coal,0,7,4225.00,4098.00
26465,2008,ND,Electric Generators Electric Utilities,Hydroelectric,0,1,614,486
26466,2008,ND,Electric Generators Electric Utilities,Natural Gas,0,1,10,10
26467,2008,ND,Electric Generators Electric Utilities,Petroleum,0,6,72,72
26468,2008,ND,Electric Generators Electric Utilities,Wind,0,3,91,26
26470,2008,ND,Electric Generators Independent Power Producers,Wind,0,9,750,750
26472,2008,ND,Total Electric Power Industry,Coal,0,10,4246.00,4119.00
26473,2008,ND,Total Electric Power Industry,Hydroelectric,0,1,614,486
26474,2008,ND,Total Electric Power Industry,Natural Gas,0,1,10,10
26475,2008,ND,Total Electric Power Industry,Other Biomass,0,1,10,10
26476,2008,ND,Total Electric Power Industry,Other Gases,0,1,8,8
26477,2008,ND,Total Electric Power Industry,Petroleum,0,8,76,75
26478,2008,ND,Total Electric Power Industry,Wind,0,12,841,776
26480,2008,NE,Combined Heat and Power Commercial Power,Other Biomass,0,1,3,3
26482,2008,NE,Combined Heat and Power Electric Power,Other Biomass,0,1,2,2
26484,2008,NE,Combined Heat and Power Industrial Power,Coal,0,1,8,8
26486,2008,NE,Electric Generators Electric Utilities,Coal,0,7,3204.00,3196.00
26487,2008,NE,Electric Generators Electric Utilities,Hydroelectric,0,11,327,278
26488,2008,NE,Electric Generators Electric Utilities,Natural Gas,0,33,2080.00,1874.00
